trace,sets,ways,block_bytes,capacity_bytes,write_alloc,write_policy,eviction,total_loads,total_stores,load_hits,load_misses,store_hits,store_misses,total_accesses,load_miss_rate,store_miss_rate,overall_miss_rate,total_cycles,cycles_per_access
traces/gcc.trace,256,1,16,4096,no-write-allocate,write-through,fifo,318197,197486,296251,21946,158894,38592,515683,0.06896985200991838,0.19541638394620378,0.11739382527638104,29042683,56.31886837456344
traces/gcc.trace,256,1,16,4096,no-write-allocate,write-through,lru,318197,197486,296251,21946,158894,38592,515683,0.06896985200991838,0.19541638394620378,0.11739382527638104,29042683,56.31886837456344
traces/gcc.trace,256,1,16,4096,write-allocate,write-back,fifo,318197,197486,298863,19334,185202,12284,515683,0.0607611008274748,0.06220187760145023,0.061312860807899425,20312483,39.38947570503584
traces/gcc.trace,256,1,16,4096,write-allocate,write-back,lru,318197,197486,298863,19334,185202,12284,515683,0.0607611008274748,0.06220187760145023,0.061312860807899425,20312483,39.38947570503584
traces/gcc.trace,256,1,16,4096,write-allocate,write-through,fifo,318197,197486,298863,19334,185202,12284,515683,0.0607611008274748,0.06220187760145023,0.061312860807899425,32911483,63.82115175408148
traces/gcc.trace,256,1,16,4096,write-allocate,write-through,lru,318197,197486,298863,19334,185202,12284,515683,0.0607611008274748,0.06220187760145023,0.061312860807899425,32911483,63.82115175408148
traces/gcc.trace,128,2,16,4096,no-write-allocate,write-through,fifo,318197,197486,304433,13764,160161,37325,515683,0.043256221774561045,0.1890007392929119,0.09907055303354968,25769883,49.972333778697376
traces/gcc.trace,128,2,16,4096,no-write-allocate,write-through,lru,318197,197486,306174,12023,162785,34701,515683,0.03778476855532893,0.17571372147899092,0.09060605061636703,25073483,48.62189174357115
traces/gcc.trace,128,2,16,4096,write-allocate,write-back,fifo,318197,197486,307286,10911,186637,10849,515683,0.03429007815912784,0.05493553973446219,0.04219646565816597,14696883,28.499840017995552
traces/gcc.trace,128,2,16,4096,write-allocate,write-back,lru,318197,197486,309037,9160,187099,10387,515683,0.028787197867987443,0.05259613339679775,0.037905069587323995,13425283,26.03398405609648
traces/gcc.trace,128,2,16,4096,write-allocate,write-through,fifo,318197,197486,307286,10911,186637,10849,515683,0.03429007815912784,0.05493553973446219,0.04219646565816597,28968283,56.1745936941881
traces/gcc.trace,128,2,16,4096,write-allocate,write-through,lru,318197,197486,309037,9160,187099,10387,515683,0.028787197867987443,0.05259613339679775,0.037905069587323995,28083083,54.45803526585131
traces/gcc.trace,64,4,16,4096,no-write-allocate,write-through,fifo,318197,197486,307258,10939,160277,37209,515683,0.03437807396047103,0.18841335588345504,0.09336743697193818,24639883,47.78106511170622
traces/gcc.trace,64,4,16,4096,no-write-allocate,write-through,lru,318197,197486,309073,9124,163467,34019,515683,0.028674060409117623,0.17226031212339102,0.08366186203539772,23913883,46.373223472559694
traces/gcc.trace,64,4,16,4096,write-allocate,write-back,fifo,318197,197486,310136,8061,186911,10575,515683,0.025333362665267114,0.0535480996121244,0.036138480423050595,13002483,25.214100522995718
traces/gcc.trace,64,4,16,4096,write-allocate,write-back,lru,318197,197486,312099,6098,187526,9960,515683,0.019164228449671115,0.050433954811986675,0.031139285181012367,11414883,22.13546500466372
traces/gcc.trace,64,4,16,4096,write-allocate,write-through,fifo,318197,197486,310136,8061,186911,10575,515683,0.025333362665267114,0.0535480996121244,0.036138480423050595,27718683,53.751399600141944
traces/gcc.trace,64,4,16,4096,write-allocate,write-through,lru,318197,197486,312099,6098,187526,9960,515683,0.019164228449671115,0.050433954811986675,0.031139285181012367,26687483,51.75172150332666
traces/gcc.trace,32,8,16,4096,no-write-allocate,write-through,fifo,318197,197486,307788,10409,161067,36419,515683,0.032712439149332015,0.18441307231905046,0.09080772490076268,24427883,47.369959839668944
traces/gcc.trace,32,8,16,4096,no-write-allocate,write-through,lru,318197,197486,309543,8654,163644,33842,515683,0.02719698802942831,0.17136404605896113,0.08240721528535942,23725883,46.00865841999833
traces/gcc.trace,32,8,16,4096,write-allocate,write-back,fifo,318197,197486,310710,7487,187034,10452,515683,0.02352944873773166,0.05292527065209686,0.034786874882437466,12608083,24.449289582941457
traces/gcc.trace,32,8,16,4096,write-allocate,write-back,lru,318197,197486,312665,5532,187617,9869,515683,0.017385456179662286,0.049973162654567915,0.0298652466728591,11068483,21.463734503561298
traces/gcc.trace,32,8,16,4096,write-allocate,write-through,fifo,318197,197486,310710,7487,187034,10452,515683,0.02352944873773166,0.05292527065209686,0.034786874882437466,27439883,53.2107573838967
traces/gcc.trace,32,8,16,4096,write-allocate,write-through,lru,318197,197486,312665,5532,187617,9869,515683,0.017385456179662286,0.049973162654567915,0.0298652466728591,26424683,51.24210610006535
traces/gcc.trace,16,16,16,4096,no-write-allocate,write-through,fifo,318197,197486,307925,10272,160981,36505,515683,0.03228188826418854,0.1848485462260616,0.09070882693437635,24373083,47.26369300519893
traces/gcc.trace,16,16,16,4096,no-write-allocate,write-through,lru,318197,197486,309789,8408,163647,33839,515683,0.026423882060484544,0.17134885510871656,0.08192436050829677,23627483,45.817843520147065
traces/gcc.trace,16,16,16,4096,write-allocate,write-back,fifo,318197,197486,310877,7320,186992,10494,515683,0.023004616636863328,0.0531379439555209,0.03454447790600039,12540883,24.318976968408887
traces/gcc.trace,16,16,16,4096,write-allocate,write-back,lru,318197,197486,312951,5246,187632,9854,515683,0.016486641923085386,0.04989720790334505,0.029281554753598626,10908883,21.15424204404644
traces/gcc.trace,16,16,16,4096,write-allocate,write-through,fifo,318197,197486,310877,7320,186992,10494,515683,0.023004616636863328,0.0531379439555209,0.03454447790600039,27389883,53.11379859332187
traces/gcc.trace,16,16,16,4096,write-allocate,write-through,lru,318197,197486,312951,5246,187632,9854,515683,0.016486641923085386,0.04989720790334505,0.029281554753598626,26304283,51.00862933236116
traces/gcc.trace,128,1,32,4096,no-write-allocate,write-through,fifo,318197,197486,297803,20394,162195,35291,515683,0.06409237044975283,0.17870127502709052,0.10798300506318805,36579483,70.934048630651
traces/gcc.trace,128,1,32,4096,no-write-allocate,write-through,lru,318197,197486,297803,20394,162195,35291,515683,0.06409237044975283,0.17870127502709052,0.10798300506318805,36579483,70.934048630651
traces/gcc.trace,128,1,32,4096,write-allocate,write-back,fifo,318197,197486,299480,18717,189617,7869,515683,0.058822050490733725,0.039845862491518384,0.05155492812444855,31817283,61.6993055811419
traces/gcc.trace,128,1,32,4096,write-allocate,write-back,lru,318197,197486,299480,18717,189617,7869,515683,0.058822050490733725,0.039845862491518384,0.05155492812444855,31817283,61.6993055811419
traces/gcc.trace,128,1,32,4096,write-allocate,write-through,fifo,318197,197486,299480,18717,189617,7869,515683,0.058822050490733725,0.039845862491518384,0.05155492812444855,41533083,80.53994993048055
traces/gcc.trace,128,1,32,4096,write-allocate,write-through,lru,318197,197486,299480,18717,189617,7869,515683,0.058822050490733725,0.039845862491518384,0.05155492812444855,41533083,80.53994993048055
traces/gcc.trace,64,2,32,4096,no-write-allocate,write-through,fifo,318197,197486,304428,13769,164055,33431,515683,0.04327193531051519,0.16928288587545445,0.09152909830263942,31279483,60.656416829719035
traces/gcc.trace,64,2,32,4096,no-write-allocate,write-through,lru,318197,197486,305934,12263,166773,30713,515683,0.03853901828112773,0.15551988495387015,0.08333801967487778,30074683,58.32009781202793
traces/gcc.trace,64,2,32,4096,write-allocate,write-back,fifo,318197,197486,306112,12085,191127,6359,515683,0.037979616401160286,0.03219975086841599,0.035766158667243246,22834083,44.27930143130567
traces/gcc.trace,64,2,32,4096,write-allocate,write-back,lru,318197,197486,307725,10472,191440,6046,515683,0.0329104297023542,0.030614828392898738,0.0320313060543008,20725283,40.18996748002164
traces/gcc.trace,64,2,32,4096,write-allocate,write-through,fifo,318197,197486,306112,12085,191127,6359,515683,0.037979616401160286,0.03219975086841599,0.035766158667243246,35019483,67.9089343647163
traces/gcc.trace,64,2,32,4096,write-allocate,write-through,lru,318197,197486,307725,10472,191440,6046,515683,0.0329104297023542,0.030614828392898738,0.0320313060543008,33478683,64.92105227436235
